nohup: ignoring input
Loaded 6641 samples from splits/train_scenario_1-1.json with vision_model=faster_rcnn
Loaded 2861 samples from splits/test_scenario_1-1.json with vision_model=faster_rcnn

Loading weights:   0%|          | 0/103 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 103/103 [00:00<00:00, 4246.67it/s]

Training:   2%|▏         | 60/3321 [00:23<20:06,  2.70it/s, loss=1.57, match=1.22, det=0.112]  
Training:   2%|▏         | 61/3321 [00:23<19:52,  2.73it/s, loss=1.57, match=1.22, det=0.112]
Training:   2%|▏         | 61/3321 [00:24<19:52,  2.73it/s, loss=1.7, match=1.34, det=0.124] 
Training:   2%|▏         | 62/3321 [00:24<20:00,  2.71it/s, loss=1.7, match=1.34, det=0.124]
Training:   2%|▏         | 62/3321 [00:24<20:00,  2.71it/s, loss=1.61, match=1.26, det=0.108]
Training:   2%|▏         | 63/3321 [00:24<19:37,  2.77it/s, loss=1.61, match=1.26, det=0.108]
Training:   2%|▏         | 63/3321 [00:24<19:37,  2.77it/s, loss=2.11, match=1.53, det=0.337]
Training:   2%|▏         | 64/3321 [00:24<19:46,  2.75it/s, loss=2.11, match=1.53, det=0.337]
Training:   2%|▏         | 64/3321 [00:25<19:46,  2.75it/s, loss=1.81, match=1.43, det=0.145]
Training:   2%|▏         | 65/3321 [00:25<19:36,  2.77it/s, loss=1.81, match=1.43, det=0.145]
Training:   2%|▏         | 65/3321 [00:25<19:36,  2.77it/s, loss=1.17, match=0.884, det=0.0712]
Training:   2%|▏         | 66/3321 [00:25<19:35,  2.77it/s, loss=1.17, match=0.884, det=0.0712]
Training:   2%|▏         | 66/3321 [00:25<19:35,  2.77it/s, loss=1.76, match=1.34, det=0.188]  
Training:   2%|▏         | 67/3321 [00:25<19:47,  2.74it/s, loss=1.76, match=1.34, det=0.188]
Training:   2%|▏         | 67/3321 [00:26<19:47,  2.74it/s, loss=1.82, match=1.36, det=0.217]
Training:   2%|▏         | 68/3321 [00:26<19:42,  2.75it/s, loss=1.82, match=1.36, det=0.217]
Training:   2%|▏         | 68/3321 [00:26<19:42,  2.75it/s, loss=1.85, match=1.36, det=0.267]
Training:   2%|▏         | 69/3321 [00:26<19:47,  2.74it/s, loss=1.85, match=1.36, det=0.267]
Training:   2%|▏         | 69/3321 [00:26<19:47,  2.74it/s, loss=1.95, match=1.44, det=0.27] 
Training:   2%|▏         | 70/3321 [00:26<19:42,  2.75it/s, loss=1.95, match=1.44, det=0.27]
Training:   2%|▏         | 70/3321 [00:27<19:42,  2.75it/s, loss=1.74, match=1.33, det=0.175]
Training:   2%|▏         | 71/3321 [00:27<19:51,  2.73it/s, loss=1.74, match=1.33, det=0.175]
Training:   2%|▏         | 71/3321 [00:27<19:51,  2.73it/s, loss=1.46, match=1.14, det=0.0969]
Training:   2%|▏         | 72/3321 [00:27<19:38,  2.76it/s, loss=1.46, match=1.14, det=0.0969]
Training:   2%|▏         | 72/3321 [00:28<19:38,  2.76it/s, loss=1.78, match=1.31, det=0.239] 
Training:   2%|▏         | 73/3321 [00:28<19:31,  2.77it/s, loss=1.78, match=1.31, det=0.239]
Training:   2%|▏         | 73/3321 [00:28<19:31,  2.77it/s, loss=1.66, match=1.32, det=0.104]
Training:   2%|▏         | 74/3321 [00:28<19:33,  2.77it/s, loss=1.66, match=1.32, det=0.104]
Training:   2%|▏         | 74/3321 [00:28<19:33,  2.77it/s, loss=1.6, match=1.28, det=0.0927]
Training:   2%|▏         | 75/3321 [00:28<19:27,  2.78it/s, loss=1.6, match=1.28, det=0.0927]
Training:   2%|▏         | 75/3321 [00:29<19:27,  2.78it/s, loss=1.77, match=1.33, det=0.203]
Training:   2%|▏         | 76/3321 [00:29<19:19,  2.80it/s, loss=1.77, match=1.33, det=0.203]
Training:   2%|▏         | 76/3321 [00:29<19:19,  2.80it/s, loss=1.62, match=1.19, det=0.203]
Training:   2%|▏         | 77/3321 [00:29<19:32,  2.77it/s, loss=1.62, match=1.19, det=0.203]
Training:   2%|▏         | 77/3321 [00:29<19:32,  2.77it/s, loss=1.45, match=1.17, det=0.0502]
Training:   2%|▏         | 78/3321 [00:29<19:34,  2.76it/s, loss=1.45, match=1.17, det=0.0502]
Training:   2%|▏         | 78/3321 [00:30<19:34,  2.76it/s, loss=1.62, match=1.28, det=0.105] 
Training:   2%|▏         | 79/3321 [00:30<19:19,  2.80it/s, loss=1.62, match=1.28, det=0.105]
Training:   2%|▏         | 79/3321 [00:30<19:19,  2.80it/s, loss=1.63, match=1.3, det=0.109] 
Training:   2%|▏         | 80/3321 [00:30<20:03,  2.69it/s, loss=1.63, match=1.3, det=0.109]
Training:   2%|▏         | 80/3321 [00:31<20:03,  2.69it/s, loss=1.53, match=1.19, det=0.13]
Training:   2%|▏         | 81/3321 [00:31<20:30,  2.63it/s, loss=1.53, match=1.19, det=0.13]
Training:   2%|▏         | 81/3321 [00:31<20:30,  2.63it/s, loss=1.49, match=1.11, det=0.159]
Training:   2%|▏         | 82/3321 [00:31<19:58,  2.70it/s, loss=1.49, match=1.11, det=0.159]
Training:   2%|▏         | 82/3321 [00:31<19:58,  2.70it/s, loss=1.59, match=1.25, det=0.129]
Training:   2%|▏         | 83/3321 [00:31<19:39,  2.75it/s, loss=1.59, match=1.25, det=0.129]
Training:   2%|▏         | 83/3321 [00:32<19:39,  2.75it/s, loss=1.68, match=1.29, det=0.176]
Training:   3%|▎         | 84/3321 [00:32<19:33,  2.76it/s, loss=1.68, match=1.29, det=0.176]
Training:   3%|▎         | 84/3321 [00:32<19:33,  2.76it/s, loss=1.91, match=1.43, det=0.253]
Training:   3%|▎         | 85/3321 [00:32<19:35,  2.75it/s, loss=1.91, match=1.43, det=0.253]
Training:   3%|▎         | 85/3321 [00:32<19:35,  2.75it/s, loss=1.42, match=1.13, det=0.0659]
Training:   3%|▎         | 86/3321 [00:32<19:22,  2.78it/s, loss=1.42, match=1.13, det=0.0659]
Training:   3%|▎         | 86/3321 [00:33<19:22,  2.78it/s, loss=1.21, match=0.939, det=0.0506]
Training:   3%|▎         | 87/3321 [00:33<19:45,  2.73it/s, loss=1.21, match=0.939, det=0.0506]
Training:   3%|▎         | 87/3321 [00:33<19:45,  2.73it/s, loss=1.15, match=0.915, det=0.0176]
Training:   3%|▎         | 88/3321 [00:33<19:34,  2.75it/s, loss=1.15, match=0.915, det=0.0176]
Training:   3%|▎         | 88/3321 [00:33<19:34,  2.75it/s, loss=1.52, match=1.15, det=0.14]   
Training:   3%|▎         | 89/3321 [00:33<19:31,  2.76it/s, loss=1.52, match=1.15, det=0.14]
Training:   3%|▎         | 89/3321 [00:34<19:31,  2.76it/s, loss=1.51, match=1.13, det=0.166]
